eval_name,Precision,Type,T,Weight type,Architecture,fullname,#Params (B),MoE,CO2 cost (kg),Submission Date,Generation,Base Model
deepseek-ai_deepseek-llm-7b-base_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,deepseek-ai/deepseek-llm-7b-base,7,False,1.64507117889465,2024-06-12,0,deepseek-ai/deepseek-llm-7b-base
deepseek-ai_deepseek-llm-7b-chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,deepseek-ai/deepseek-llm-7b-chat,7,False,1.54896509523136,2024-06-12,0,deepseek-ai/deepseek-llm-7b-chat
deepseek-ai_deepseek-moe-16b-base_bfloat16,bfloat16,🟢 pretrained,🟢,Original,DeepseekForCausalLM,deepseek-ai/deepseek-moe-16b-base,16.376,True,14.0049308618077,2024-06-12,0,deepseek-ai/deepseek-moe-16b-base
deepseek-ai_deepseek-moe-16b-chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,DeepseekForCausalLM,deepseek-ai/deepseek-moe-16b-chat,16.376,True,9.18695614589026,2024-06-12,0,deepseek-ai/deepseek-moe-16b-chat
dfurman_CalmeRys-78B-Orpo-v0.1_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,dfurman/CalmeRys-78B-Orpo-v0.1,77.965,False,25.9935347560735,2024-09-24,1,dfurman/CalmeRys-78B-Orpo-v0.1 (Merge)
dfurman_Llama-3-70B-Orpo-v0.1_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,dfurman/Llama-3-70B-Orpo-v0.1,70.554,False,28.8806854340738,2024-08-30,1,dfurman/Llama-3-70B-Orpo-v0.1 (Merge)
dfurman_Llama-3-8B-Orpo-v0.1_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Adapter,?,dfurman/Llama-3-8B-Orpo-v0.1,8.03,False,1.85615878171689,2024-08-30,1,dfurman/Llama-3-8B-Orpo-v0.1 (Merge)
dfurman_Llama-3-8B-Orpo-v0.1_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,dfurman/Llama-3-8B-Orpo-v0.1,8.03,False,0.949860838803383,2024-08-30,1,dfurman/Llama-3-8B-Orpo-v0.1 (Merge)
dfurman_Qwen2-72B-Orpo-v0.1_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,Qwen2ForCausalLM,dfurman/Qwen2-72B-Orpo-v0.1,72.699,False,25.2506632423452,2024-08-22,1,dfurman/Qwen2-72B-Orpo-v0.1 (Merge)
dicta-il_dictalm2.0_bfloat16,bfloat16,🟩 continuously pretrained,🟩,Original,MistralForCausalLM,dicta-il/dictalm2.0,7.251,False,1.34807688873988,2024-07-31,0,dicta-il/dictalm2.0
dicta-il_dictalm2.0-instruct_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,MistralForCausalLM,dicta-il/dictalm2.0-instruct,7.251,False,1.29678960790371,2024-07-31,1,dicta-il/dictalm2.0
distilbert_distilgpt2_bfloat16,bfloat16,🟢 pretrained,🟢,Original,GPT2LMHeadModel,distilbert/distilgpt2,0.088,False,0.246163080828244,2024-06-12,0,distilbert/distilgpt2
divyanshukunwar_SASTRI_1_9B_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,Gemma2ForCausalLM,divyanshukunwar/SASTRI_1_9B,5.211,False,7.79243084402068,2024-11-23,1,divyanshukunwar/SASTRI_1_9B (Merge)
djuna_G2-BigGSHT-27B-2_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Gemma2ForCausalLM,djuna/G2-BigGSHT-27B-2,27.227,False,10.0508579500742,2024-11-06,1,djuna/G2-BigGSHT-27B-2 (Merge)
djuna_G2-GSHT_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Gemma2ForCausalLM,djuna/G2-GSHT,10.159,False,4.30338394000549,2024-10-05,1,djuna/G2-GSHT (Merge)
djuna_Gemma-2-gemmama-9b_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Gemma2ForCausalLM,djuna/Gemma-2-gemmama-9b,10.159,False,5.52819443015013,2024-10-05,1,djuna/Gemma-2-gemmama-9b (Merge)
djuna_L3.1-ForStHS_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna/L3.1-ForStHS,8.03,False,1.6873286473063,2024-09-15,1,djuna/L3.1-ForStHS (Merge)
djuna_L3.1-Promissum_Mane-8B-Della-1.5-calc_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna/L3.1-Promissum_Mane-8B-Della-1.5-calc,8.03,False,1.48830607832729,2024-10-29,1,djuna/L3.1-Promissum_Mane-8B-Della-1.5-calc (Merge)
djuna_L3.1-Promissum_Mane-8B-Della-calc_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna/L3.1-Promissum_Mane-8B-Della-calc,8.03,False,1.64543906202777,2024-10-20,1,djuna/L3.1-Promissum_Mane-8B-Della-calc (Merge)
djuna_L3.1-Purosani-2-8B_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna/L3.1-Purosani-2-8B,8.03,False,1.72990359581624,2024-10-20,1,djuna/L3.1-Purosani-2-8B (Merge)
djuna_L3.1-Suze-Vume-calc_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna/L3.1-Suze-Vume-calc,8.03,False,1.60903769982251,2024-09-04,1,djuna/L3.1-Suze-Vume-calc (Merge)
djuna_MN-Chinofun_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,MistralForCausalLM,djuna/MN-Chinofun,12.248,False,2.89298616854663,2024-09-23,1,djuna/MN-Chinofun (Merge)
djuna_MN-Chinofun-12B-2_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,MistralForCausalLM,djuna/MN-Chinofun-12B-2,12.248,False,1.95539310072287,2024-11-26,1,djuna/MN-Chinofun-12B-2 (Merge)
djuna_MN-Chinofun-12B-3_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,MistralForCausalLM,djuna/MN-Chinofun-12B-3,12.248,False,2.41547884956381,2024-12-05,1,djuna/MN-Chinofun-12B-3 (Merge)
djuna_MN-Chinofun-12B-4_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,MistralForCausalLM,djuna/MN-Chinofun-12B-4,12.248,False,1.69179233355094,2025-01-26,1,djuna/MN-Chinofun-12B-4 (Merge)
djuna_Q2.5-Partron-7B_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,djuna/Q2.5-Partron-7B,7.613,False,2.00215310635817,2024-11-08,1,djuna/Q2.5-Partron-7B (Merge)
djuna_Q2.5-Veltha-14B_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,djuna/Q2.5-Veltha-14B,14.766,False,3.21348990945548,2024-12-22,1,djuna/Q2.5-Veltha-14B (Merge)
djuna_Q2.5-Veltha-14B-0.5_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,Qwen2ForCausalLM,djuna/Q2.5-Veltha-14B-0.5,14.766,False,2.94292279731119,2024-12-22,1,djuna/Q2.5-Veltha-14B-0.5 (Merge)
djuna-test-lab_TEST-L3.2-ReWish-3B_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna-test-lab/TEST-L3.2-ReWish-3B,3.213,False,1.28126180192416,2024-10-24,1,djuna-test-lab/TEST-L3.2-ReWish-3B (Merge)
djuna-test-lab_TEST-L3.2-ReWish-3B-ties-w-base_bfloat16,bfloat16,🤝 base merges and moerges,🤝,Original,LlamaForCausalLM,djuna-test-lab/TEST-L3.2-ReWish-3B-ties-w-base,3.213,False,1.92206090899317,2024-10-23,1,djuna-test-lab/TEST-L3.2-ReWish-3B-ties-w-base (Merge)
dnhkng_RYS-Medium_bfloat16,bfloat16,🟩 continuously pretrained,🟩,Original,Phi3ForCausalLM,dnhkng/RYS-Medium,18.731,False,4.2727567000988,2024-07-17,0,dnhkng/RYS-Medium
dnhkng_RYS-Llama-3-8B-Instruct_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,dnhkng/RYS-Llama-3-8B-Instruct,8.248,False,1.61037465555898,2024-08-07,0,dnhkng/RYS-Llama-3-8B-Instruct
dnhkng_RYS-Llama-3-Huge-Instruct_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,dnhkng/RYS-Llama-3-Huge-Instruct,99.646,False,29.4739762900504,2024-08-07,0,dnhkng/RYS-Llama-3-Huge-Instruct
dnhkng_RYS-Llama-3-Large-Instruct_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,dnhkng/RYS-Llama-3-Large-Instruct,73.976,False,19.6230338832093,2024-08-07,0,dnhkng/RYS-Llama-3-Large-Instruct
dnhkng_RYS-Llama-3.1-8B-Instruct_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Adapter,?,dnhkng/RYS-Llama-3.1-8B-Instruct,8.685,False,1.94334389653194,2024-08-30,0,dnhkng/RYS-Llama-3.1-8B-Instruct
dnhkng_RYS-Llama3.1-Large_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,dnhkng/RYS-Llama3.1-Large,81.677,False,30.8126578472675,2024-08-22,0,dnhkng/RYS-Llama3.1-Large
